,ocr,value,manual,val_diff,still_errors
frame_0001.jpg,0.003,0.003,False,,False
frame_0002.jpg,0.016,0.016,False,0.013000000000000001,False
frame_0003.jpg,0.019,0.019,False,0.002999999999999999,False
frame_0004.jpg,0.026,0.026,False,0.006999999999999999,False
frame_0005.jpg,0.027,0.027,False,0.0010000000000000009,False
frame_0006.jpg,0.039,0.039,False,0.012,False
frame_0007.jpg,0.042,0.042,False,0.0030000000000000027,False
frame_0008.jpg,0.049,0.049,False,0.006999999999999999,False
frame_0009.jpg,0.049,0.049,False,0.0,False
frame_0010.jpg,0.064,0.064,False,0.015,False
frame_0011.jpg,0.067,0.067,False,0.0030000000000000027,False
frame_0012.jpg,0.074,0.074,False,0.006999999999999992,False
frame_0013.jpg,0.075,0.075,False,0.0010000000000000009,False
frame_0014.jpg,0.085,0.085,False,0.010000000000000009,False
frame_0015.jpg,0.087,0.087,False,0.001999999999999988,False
frame_0016.jpg,0.092,0.092,False,0.0050000000000000044,False
frame_0017.jpg,0.093,0.093,False,0.0010000000000000009,False
frame_0018.jpg,0.101,0.101,True,0.008000000000000007,False
frame_0019.jpg,0.103,0.103,False,0.001999999999999988,False
frame_0020.jpg,0.108,0.108,False,0.0050000000000000044,False
frame_0021.jpg,0.109,0.109,False,0.0010000000000000009,False
frame_0022.jpg,0.115,0.115,False,0.006000000000000005,False
frame_0023.jpg,0.117,0.117,True,0.0020000000000000018,False
frame_0024.jpg,0.122,0.122,False,0.0049999999999999906,False
frame_0025.jpg,0.123,0.123,False,0.0010000000000000009,False
frame_0026.jpg,0.134,0.134,False,0.01100000000000001,False
frame_0027.jpg,0.135,0.135,False,0.0010000000000000009,False
frame_0028.jpg,0.140,0.14,False,0.0050000000000000044,False
frame_0029.jpg,0.141,0.141,False,0.0009999999999999731,False
frame_0030.jpg,0.150,0.15,False,0.009000000000000008,False
frame_0031.jpg,0.151,0.151,False,0.0010000000000000009,False
frame_0032.jpg,0.156,0.156,False,0.0050000000000000044,False
frame_0033.jpg,0.157,0.157,False,0.0010000000000000009,False
frame_0034.jpg,0.168,0.168,False,0.01100000000000001,False
frame_0035.jpg,0.170,0.17,True,0.0020000000000000018,False
frame_0036.jpg,0.174,0.174,False,0.003999999999999976,False
frame_0037.jpg,0.175,0.175,False,0.0010000000000000009,False
frame_0038.jpg,0.182,0.182,False,0.007000000000000006,False
frame_0039.jpg,0.184,0.184,False,0.0020000000000000018,False
frame_0040.jpg,0.188,0.188,False,0.0040000000000000036,False
frame_0041.jpg,0.190,0.19,False,0.0020000000000000018,False
frame_0042.jpg,0.198,0.198,False,0.008000000000000007,False
frame_0043.jpg,0.200,0.2,False,0.0020000000000000018,False
frame_0044.jpg,0.214,0.214,False,0.013999999999999985,False
frame_0045.jpg,0.217,0.217,False,0.0030000000000000027,False
frame_0046.jpg,0.230,0.23,False,0.013000000000000012,False
frame_0047.jpg,0.233,0.233,False,0.0030000000000000027,False
frame_0048.jpg,0.247,0.247,False,0.013999999999999985,False
frame_0049.jpg,0.249,0.249,False,0.0020000000000000018,False
frame_0050.jpg,0.265,0.265,False,0.016000000000000014,False
frame_0051.jpg,0.268,0.268,False,0.0030000000000000027,False
frame_0052.jpg,0.282,0.282,False,0.013999999999999957,False
frame_0053.jpg,0.284,0.284,False,0.0020000000000000018,False
frame_0054.jpg,0.300,0.3,False,0.016000000000000014,False
frame_0055.jpg,0.306,0.306,False,0.006000000000000005,False
frame_0056.jpg,0.319,0.319,False,0.013000000000000012,False
frame_0057.jpg,0.320,0.32,False,0.0010000000000000009,False
frame_0058.jpg,0.327,0.327,False,0.007000000000000006,False
frame_0059.jpg,0.328,0.328,False,0.0010000000000000009,False
frame_0060.jpg,0.333,0.333,False,0.0050000000000000044,False
frame_0061.jpg,0.334,0.334,False,0.0010000000000000009,False
frame_0062.jpg,0.340,0.34,False,0.006000000000000005,False
frame_0063.jpg,0.341,0.341,True,0.0010000000000000009,False
frame_0064.jpg,0.346,0.346,False,0.004999999999999949,False
frame_0065.jpg,0.347,0.347,False,0.0010000000000000009,False
frame_0066.jpg,0.358,0.358,False,0.01100000000000001,False
frame_0067.jpg,0.359,0.359,False,0.0010000000000000009,False
frame_0068.jpg,0.364,0.364,False,0.0050000000000000044,False
frame_0069.jpg,0.365,0.365,False,0.0010000000000000009,False
frame_0070.jpg,0.373,0.373,False,0.008000000000000007,False
frame_0071.jpg,0.375,0.375,False,0.0020000000000000018,False
frame_0072.jpg,0.380,0.38,False,0.0050000000000000044,False
frame_0073.jpg,0.383,0.383,False,0.0030000000000000027,False
frame_0074.jpg,0.398,0.398,False,0.015000000000000013,False
frame_0075.jpg,0.402,0.402,False,0.0040000000000000036,False
frame_0076.jpg,0.415,0.415,False,0.012999999999999956,False
frame_0077.jpg,0.418,0.418,False,0.0030000000000000027,False
frame_0078.jpg,0.430,0.43,False,0.01200000000000001,False
frame_0079.jpg,0.433,0.433,False,0.0030000000000000027,False
frame_0080.jpg,0.447,0.447,False,0.014000000000000012,False
frame_0081.jpg,0.448,0.448,False,0.0010000000000000009,False
frame_0082.jpg,0.457,0.457,False,0.009000000000000008,False
frame_0083.jpg,0.459,0.459,False,0.0020000000000000018,False
frame_0084.jpg,0.472,0.472,False,0.012999999999999956,False
frame_0085.jpg,0.474,0.474,False,0.0020000000000000018,False
frame_0086.jpg,0.482,0.482,False,0.008000000000000007,False
frame_0087.jpg,0.484,0.484,False,0.0020000000000000018,False
frame_0088.jpg,0.497,0.497,False,0.013000000000000012,False
frame_0089.jpg,0.499,0.499,False,0.0020000000000000018,False
frame_0090.jpg,0.508,0.508,False,0.009000000000000008,False
frame_0091.jpg,0.510,0.51,True,0.0020000000000000018,False
frame_0092.jpg,0.523,0.523,True,0.013000000000000012,False
frame_0093.jpg,0.525,0.525,False,0.0020000000000000018,False
frame_0094.jpg,0.539,0.539,False,0.014000000000000012,False
frame_0095.jpg,0.540,0.54,False,0.0010000000000000009,False
frame_0096.jpg,0.545,0.545,False,0.0050000000000000044,False
frame_0097.jpg,0.546,0.546,False,0.0010000000000000009,False
frame_0098.jpg,0.558,0.558,False,0.01200000000000001,False
frame_0099.jpg,0.559,0.559,False,0.0010000000000000009,False
frame_0100.jpg,0.563,0.563,False,0.0039999999999998925,False
frame_0101.jpg,0.565,0.565,False,0.0020000000000000018,False
frame_0102.jpg,0.578,0.578,True,0.013000000000000012,False
frame_0103.jpg,0.582,0.582,False,0.0040000000000000036,False
frame_0104.jpg,0.595,0.595,False,0.013000000000000012,False
frame_0105.jpg,0.597,0.597,False,0.0020000000000000018,False
frame_0106.jpg,0.602,0.602,False,0.0050000000000000044,False
frame_0107.jpg,0.603,0.603,False,0.0010000000000000009,False
frame_0108.jpg,0.609,0.609,False,0.006000000000000005,False
frame_0109.jpg,0.610,0.61,True,0.0010000000000000009,False
frame_0110.jpg,0.627,0.627,False,0.017000000000000015,False
frame_0111.jpg,0.629,0.629,False,0.0020000000000000018,False
frame_0112.jpg,0.642,0.642,False,0.013000000000000012,False
frame_0113.jpg,0.643,0.643,False,0.0010000000000000009,False
frame_0114.jpg,0.656,0.656,False,0.013000000000000012,False
frame_0115.jpg,0.658,0.658,False,0.0020000000000000018,False
frame_0116.jpg,0.671,0.671,False,0.013000000000000012,False
frame_0117.jpg,0.674,0.674,True,0.0030000000000000027,False
frame_0118.jpg,0.683,0.683,False,0.009000000000000008,False
frame_0119.jpg,0.685,0.685,False,0.0020000000000000018,False
frame_0120.jpg,0.698,0.698,False,0.0129999999999999,False
frame_0121.jpg,0.699,0.699,False,0.0010000000000000009,False
frame_0122.jpg,0.714,0.714,True,0.015000000000000013,False
frame_0123.jpg,0.776,0.716,True,0.0020000000000000018,False
frame_0124.jpg,0.729,0.729,True,0.013000000000000012,False
frame_0125.jpg,0.730,0.73,False,0.0010000000000000009,False
frame_0126.jpg,0.743,0.743,False,0.013000000000000012,False
frame_0127.jpg,0.797,0.797,False,0.05400000000000005,False
frame_0128.jpg,0.806,0.806,False,0.009000000000000008,False
frame_0129.jpg,0.808,0.808,False,0.0020000000000000018,False
frame_0130.jpg,0.821,0.821,False,0.0129999999999999,False
frame_0131.jpg,0.827,0.827,False,0.006000000000000005,False
frame_0132.jpg,0.840,0.84,False,0.013000000000000012,False
frame_0133.jpg,0.843,0.843,False,0.0030000000000000027,False
