,ocr,value,manual,val_diff,still_errors
d:\Repos\ai-energy-validation\mlruns\173844895421884936\b05737ae5f1f47e8b190abc0dd66d675\artifacts\capture_start.jpg,25.19,25.19,False,,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\b05737ae5f1f47e8b190abc0dd66d675\artifacts\capture_stop.jpg,25.20,25.2,False,0.00999999999999801,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\bc66200b722d47828f1ddecd005ca367\artifacts\capture_start.jpg,25.21,25.21,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\bc66200b722d47828f1ddecd005ca367\artifacts\capture_stop.jpg,25.21,25.21,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\72f418aa563349ed98e7cb9f64018dd2\artifacts\capture_start.jpg,25.24,25.24,False,0.029999999999997584,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\72f418aa563349ed98e7cb9f64018dd2\artifacts\capture_stop.jpg,25.25,25.25,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\4969388a989540c0bb0669df2ac03d47\artifacts\capture_start.jpg,25.25,25.25,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\4969388a989540c0bb0669df2ac03d47\artifacts\capture_stop.jpg,25.25,25.25,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\060be407821e45b49981cef66fef8910\artifacts\capture_start.jpg,25.29,25.29,False,0.03999999999999915,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\060be407821e45b49981cef66fef8910\artifacts\capture_stop.jpg,25.30,25.3,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\55704e09d4144ca49324b0e15a7b4452\artifacts\capture_start.jpg,25.30,25.3,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\55704e09d4144ca49324b0e15a7b4452\artifacts\capture_stop.jpg,25.30,25.3,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\e6d44750267a4e219b2d1317a49fa6ca\artifacts\capture_start.jpg,25.30,25.3,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\e6d44750267a4e219b2d1317a49fa6ca\artifacts\capture_stop.jpg,25.31,25.31,False,0.00999999999999801,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\db4396f482434c00b612ffa2135c875c\artifacts\capture_start.jpg,25.31,25.31,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\db4396f482434c00b612ffa2135c875c\artifacts\capture_stop.jpg,25.32,25.32,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\27f1a02d0c8e46498cb9ec6d03428a43\artifacts\capture_start.jpg,25.32,25.32,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\27f1a02d0c8e46498cb9ec6d03428a43\artifacts\capture_stop.jpg,25.33,25.33,False,0.00999999999999801,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\dcbed4b933cc41efa96e6dd96ab9e64c\artifacts\capture_start.jpg,25.34,25.34,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\dcbed4b933cc41efa96e6dd96ab9e64c\artifacts\capture_stop.jpg,25.34,25.34,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\df28c9e860824605bc8e86463411cbe7\artifacts\capture_start.jpg,25.34,25.34,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\df28c9e860824605bc8e86463411cbe7\artifacts\capture_stop.jpg,25.35,25.35,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\cf7280c62dca4e86aae9471c145c9eb7\artifacts\capture_start.jpg,25.35,25.35,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\cf7280c62dca4e86aae9471c145c9eb7\artifacts\capture_stop.jpg,25.36,25.36,False,0.00999999999999801,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\2f0204194c664c99bb9dca41b3e58f56\artifacts\capture_start.jpg,25.37,25.37,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\2f0204194c664c99bb9dca41b3e58f56\artifacts\capture_stop.jpg,25.38,25.38,True,0.00999999999999801,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\61307c3e7e1b4570acacab4c4a7c4b29\artifacts\capture_start.jpg,25.38,25.38,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\61307c3e7e1b4570acacab4c4a7c4b29\artifacts\capture_stop.jpg,25.39,25.39,False,0.010000000000001563,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\da47f84c2ebf44dbaec7ae23be6a878e\artifacts\capture_start.jpg,25.39,25.39,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\da47f84c2ebf44dbaec7ae23be6a878e\artifacts\capture_stop.jpg,25.40,25.4,False,0.00999999999999801,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\6115c50c8f57474f92e0046c91fcbc4c\artifacts\capture_start.jpg,25.40,25.4,False,0.0,False
d:\Repos\ai-energy-validation\mlruns\173844895421884936\6115c50c8f57474f92e0046c91fcbc4c\artifacts\capture_stop.jpg,25.41,25.41,False,0.010000000000001563,False
