,ocr,value,manual,val_diff,still_errors
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/0d599db4202c4e52bb4298855a84bf98_capture_start.jpg,4.781,4.781,False,,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/0d599db4202c4e52bb4298855a84bf98_capture_stop.jpg,4.789,4.789,False,0.008000000000000007,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/49aecb42c7b24c37b33f458a4109ffaa_capture_start.jpg,4.790,4.79,False,0.001000000000000334,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/49aecb42c7b24c37b33f458a4109ffaa_capture_stop.jpg,4.797,4.797,False,0.006999999999999673,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/f40d53e7a6f7423bad0e0e5347e8948a_capture_start.jpg,4.798,4.798,False,0.001000000000000334,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/f40d53e7a6f7423bad0e0e5347e8948a_capture_stop.jpg,4.809,4.809,False,0.01100000000000012,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/ae4fa79866434e7a86c168ed816526d5_capture_start.jpg,4.811,4.811,False,0.0019999999999997797,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/ae4fa79866434e7a86c168ed816526d5_capture_stop.jpg,4.819,4.819,False,0.008000000000000007,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/7bd882760b984730857ea3bb03a40a08_capture_start.jpg,4.821,4.821,False,0.0019999999999997797,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/7bd882760b984730857ea3bb03a40a08_capture_stop.jpg,4.829,4.829,False,0.008000000000000007,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/a2410c426c254ba799d93d6d96b3814b_capture_start.jpg,4.830,4.83,False,0.001000000000000334,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/a2410c426c254ba799d93d6d96b3814b_capture_stop.jpg,4.841,4.841,False,0.01100000000000012,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/cc4f7e4ca572467fa8974ce41ea5d99c_capture_start.jpg,4.842,4.842,False,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/cc4f7e4ca572467fa8974ce41ea5d99c_capture_stop.jpg,4.850,4.85,False,0.008000000000000007,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/92834345fa064a7cbf23e8acfd325b81_capture_start.jpg,4.852,4.852,False,0.002000000000000668,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/92834345fa064a7cbf23e8acfd325b81_capture_stop.jpg,4.859,4.859,False,0.006999999999999673,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/1bc01698ef71417582722a2732569204_capture_start.jpg,4.861,4.861,False,0.0019999999999997797,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/1bc01698ef71417582722a2732569204_capture_stop.jpg,4.869,4.869,False,0.008000000000000007,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/446984c05c284d748a2b992d41b520d5_capture_start.jpg,4.870,4.87,False,0.001000000000000334,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/446984c05c284d748a2b992d41b520d5_capture_stop.jpg,4.878,4.878,False,0.008000000000000007,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/997e5cdf8a3441f8aa4e10abcaf28418_capture_start.jpg,4.879,4.879,False,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/997e5cdf8a3441f8aa4e10abcaf28418_capture_stop.jpg,4.891,4.891,False,0.012000000000000455,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/152d3e428cfc46d983754302d982bb96_capture_start.jpg,4.892,4.892,False,0.001000000000000334,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/152d3e428cfc46d983754302d982bb96_capture_stop.jpg,4.904,4.904,False,0.011999999999999567,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/0e0ede2df93e4814bb9ff33f816f7a5c_capture_start.jpg,4.905,4.905,False,0.001000000000000334,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/0e0ede2df93e4814bb9ff33f816f7a5c_capture_stop.jpg,4.916,4.916,False,0.01100000000000012,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/9d1a513093274709b302a6381f4d3096_capture_start.jpg,4.917,4.917,False,0.0009999999999994458,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/9d1a513093274709b302a6381f4d3096_capture_stop.jpg,4.927,4.927,False,0.009999999999999787,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/8a7ca143dad74345850cd86fa0681853_capture_start.jpg,4.928,4.928,False,0.001000000000000334,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/8a7ca143dad74345850cd86fa0681853_capture_stop.jpg,4.939,4.939,False,0.01100000000000012,False
/home/fischer/repos/ai-energy-validation/results/imagenet_120_2025-09-17_03-24-31/2fdca61cf1d846c1a7859e64596ee5d0_capture_start.jpg,4.941,4.941,False,0.0019999999999997797,False
