run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time_total,metrics.running_time,metrics.sparse_top_k_categorical_accuracy,metrics.power_draw_total,metrics.loss,metrics.sparse_categorical_accuracy,metrics.power_draw,params.batchsize,params.architecture,params.batch_size,params.seconds,params.dataset,params.task,params.datadir,params.software,params.n_samples,params.parameters,params.model,tags.mlflow.source.type,tags.mlflow.project.env,tags.mlflow.project.backend,tags.mlflow.runName,tags.mlflow.source.git.repoURL,tags.mlflow.source.git.commit,tags.mlflow.user,tags.mlflow.project.entryPoint,tags.mlflow.source.name
2992a857072f40dcb45beb4b4a56b7c9,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/2992a857072f40dcb45beb4b4a56b7c9/artifacts,2025-09-20 11:52:52.524000+00:00,2025-09-20 11:55:52.359000+00:00,118.2390924160136,0.030920264753141632,0.9312238693237305,28548.022360932722,0.9878643751144409,0.7785041928291321,7.465487019072365,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,3824.0,28589128,ConvNeXtTiny,PROJECT,conda,local,wistful-snipe-136,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
c7f6ec55acaf4c87be0dec57bd2587a3,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/c7f6ec55acaf4c87be0dec57bd2587a3/artifacts,2025-09-20 11:49:41.566000+00:00,2025-09-20 11:52:48.488000+00:00,119.76770790305454,0.05308852300667311,0.9454787373542786,29318.05755091368,0.8741499781608582,0.7996453642845154,12.995592886043298,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,2256.0,50223688,ConvNeXtSmall,PROJECT,conda,local,polite-fowl-538,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
01340b4d1f9b428d86642a2aaa72cadd,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/01340b4d1f9b428d86642a2aaa72cadd/artifacts,2025-09-20 11:46:28.517000+00:00,2025-09-20 11:49:37.458000+00:00,121.22713312099222,0.08060314702193631,0.9607712626457214,29370.50096483916,0.7236102223396301,0.821143627166748,19.528258620238805,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,1504.0,88591464,ConvNeXtBase,PROJECT,conda,local,masked-steed-617,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
08528d7adc4f4808b744f7823d8920b4,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/08528d7adc4f4808b744f7823d8920b4/artifacts,2025-09-20 11:43:17.457000+00:00,2025-09-20 11:46:24.543000+00:00,120.9037442470435,0.027478123692509886,0.8634091019630432,29190.57763296888,1.4458589553833008,0.6627272963523865,6.634222189311109,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,4400.0,143667240,VGG19,PROJECT,conda,local,powerful-flea-747,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
bae4a253ef924136960a18c4b73bf065,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/bae4a253ef924136960a18c4b73bf065/artifacts,2025-09-20 11:40:09.878000+00:00,2025-09-20 11:43:13.366000+00:00,119.57722824194934,0.022045949159651426,0.8644911646842957,28830.04032397428,1.4052897691726685,0.6709070801734924,5.315272921086704,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,5424.0,138357544,VGG16,PROJECT,conda,local,dapper-owl-125,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
7c27c03bf5fc42d9b776d6ce3cf494e0,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/7c27c03bf5fc42d9b776d6ce3cf494e0/artifacts,2025-09-20 11:37:08.182000+00:00,2025-09-20 11:40:05.699000+00:00,119.548084803042,0.019610906299711614,0.9338910579681396,28691.328615137998,0.9778095483779907,0.7810039520263672,4.706582778073819,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,6096.0,22910480,Xception,PROJECT,conda,local,tasteful-stoat-447,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
201401a59d364356b802dc552514b07e,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/201401a59d364356b802dc552514b07e/artifacts,2025-09-20 11:34:14.200000+00:00,2025-09-20 11:37:04.131000+00:00,124.71517172001768,0.0026431665759583263,0.8807434439659119,31392.106271726756,1.3489971160888672,0.6950449347496033,0.6653125269524999,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,47184.0,5326716,NASNetMobile,PROJECT,conda,local,amusing-hawk-623,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
c9117e3460ac46519689dd112136f8de,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/c9117e3460ac46519689dd112136f8de/artifacts,2025-09-20 11:31:09.465000+00:00,2025-09-20 11:34:10.144000+00:00,117.8833905661013,0.022462536312138206,0.9641768336296082,28759.25595831228,0.7205619215965271,0.8330792784690857,5.480041150593041,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,5248.0,21612360,EfficientNetV2S,PROJECT,conda,local,stately-foal-986,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
25272f4026744fcfbaae65ca813b524c,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/25272f4026744fcfbaae65ca813b524c/artifacts,2025-09-20 11:28:12.545000+00:00,2025-09-20 11:31:05.647000+00:00,119.85487959894816,0.00860037884607837,0.9507032036781311,28901.30697788976,0.8142992258071899,0.8102037906646729,2.0738595707440988,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,13936.0,14467622,EfficientNetV2B3,PROJECT,conda,local,abrasive-bat-7,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
b6ad8e87a7d9481e8d52a94233657f93,237577254607184300,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/237577254607184300/b6ad8e87a7d9481e8d52a94233657f93/artifacts,2025-09-20 11:25:19.051000+00:00,2025-09-20 11:28:08.567000+00:00,121.70000847894698,0.005209760636941224,0.9303510189056396,29445.24123461196,0.9572251439094543,0.778124988079071,1.2604983405227723,16,13th Gen Intel(R) Core(TM) i9-13900K,16,120,ImageNet (ILSVRC 2012),Inference,/data/d1/fischer_diss/imagenet,Tensorflow 2.20.0,23360.0,10178374,EfficientNetV2B2,PROJECT,conda,local,sincere-squirrel-854,https://github.com/raphischer/ai-energy-validation.git,1ffbfa560be7fd27159d1da75c8a2e930b8379ee,fischer,main.py,file:///home/fischer/repos/ai-energy-validation#experiments/imagenet
