run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time,metrics.avg_time,metrics.running_time_gt,metrics.n_tokens_out,metrics.std_time,metrics.power_draw_total,metrics.power_draw_total_gt,metrics.power_draw,metrics.max_time,metrics.running_time_total,metrics.power_draw_gt,metrics.n_tokens_in,metrics.running_time_total_gt,params.task,params.architecture,params.file_size,params.random,params.parameters,params.model,params.temperature,params.dataset,params.n_errors,params.n_samples,tags.mlflow.source.type,tags.mlflow.source.git.commit,tags.mlflow.project.backend,tags.mlflow.user,tags.mlflow.source.name,tags.mlflow.project.env,tags.mlflow.source.git.repoURL,tags.mlflow.runName,tags.mlflow.project.entryPoint
d712102fb26044abb17e15147a3d1e60,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/d712102fb26044abb17e15147a3d1e60/artifacts,2026-05-14 09:22:51.920000+00:00,2026-05-14 09:37:57.214000+00:00,0.006494393125721606,2.8563168434869675,0.006493881320711152,138592.0,1.7714873850920998,329637.3260346839,395928.0,2.3784729712731174,12.522832870483398,900.0709320800088,2.8567882706072503,54269.0,900.0,Inference,NVIDIA GeForce RTX 4090,4472032405,21172,7300000000.0,olmo2:7b,0.7,LLM Benchmark (Puffin),0,315,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,adorable-sponge-43,main.py
e59d36d1ab6f415e9716c8ae5400acab,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/e59d36d1ab6f415e9716c8ae5400acab/artifacts,2026-05-14 09:06:57.822000+00:00,2026-05-14 09:22:48.921000+00:00,0.0065017762073992045,2.779326363613731,0.006501357466063349,138125.0,1.813545420268841,328683.20472266764,394848.0,2.3796069120193133,15.237498044967651,898.0578386470152,2.8586280542986424,56987.0,898.0,Inference,NVIDIA GeForce RTX 4090,4472032405,21172,7300000000.0,olmo2:7b,0.0,LLM Benchmark (Puffin),0,323,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,ambitious-conch-854,main.py
204f9e7b8f32444e96a7b4a6250c36b9,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/204f9e7b8f32444e96a7b4a6250c36b9/artifacts,2026-05-14 08:51:50.122000+00:00,2026-05-14 09:06:54.795000+00:00,0.006653419925635294,2.436489731315675,0.006650146096090543,135185.0,1.7903008196795127,336186.7345132916,403920.0,2.48686418251501,21.0946364402771,899.4425726470072,2.987905462884196,60944.0,899.0,Inference,NVIDIA GeForce RTX 4090,4920757726,21172,8000000000.0,dolphin3:8b,0.7,LLM Benchmark (Puffin),0,369,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,honorable-moth-14,main.py
2e464ee2e951464eb6a0fc07ec664d1d,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/2e464ee2e951464eb6a0fc07ec664d1d/artifacts,2026-05-14 08:34:45.066000+00:00,2026-05-14 08:51:47.174000+00:00,0.006647505690228776,2.8102350604464434,0.00664458718847466,144628.99992747456,6.652302419712189,361807.0415765193,435384.0,2.5016216786256598,120.10017848014832,961.4220999899844,3.0103506227542676,63775.45094624234,961.0,Inference,NVIDIA GeForce RTX 4090,4920757726,21172,8000000000.0,dolphin3:8b,0.0,LLM Benchmark (Puffin),1,342,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,whimsical-bat-755,main.py
d61fd834e8c3429793431763dbc6a321,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/d61fd834e8c3429793431763dbc6a321/artifacts,2026-05-14 08:19:28.933000+00:00,2026-05-14 08:34:42.166000+00:00,0.013462813655145916,31.835205154759542,0.01346272846642619,66257.0,21.626822751513707,352147.5926015429,423252.0,5.3148737884531885,95.97182154655457,892.005644349003,6.388034471829392,10474.0,892.0,Inference,NVIDIA GeForce RTX 4090,11117503233,21172,14700000000.0,phi4-reasoning:14b,0.7,LLM Benchmark (Puffin),0,28,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,rambunctious-ape-771,main.py
6af611d72f6147d3815ba5fafb919cad,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/6af611d72f6147d3815ba5fafb919cad/artifacts,2026-05-14 08:02:50.640000+00:00,2026-05-14 08:19:25.788000+00:00,0.013369289876186708,39.195732886140995,0.013360301669010515,64519.501232477865,36.3640294290099,341841.6154952536,410184.0,5.298268104453001,120.10063648223877,862.5799146439822,6.357519698145486,11355.885696544587,862.0,Inference,NVIDIA GeForce RTX 4090,11117503233,21172,14700000000.0,phi4-reasoning:14b,0.0,LLM Benchmark (Puffin),3,22,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,wistful-duck-437,main.py
9a8a09c1e1a849939d0f42a5eb541a8e,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/9a8a09c1e1a849939d0f42a5eb541a8e/artifacts,2026-05-14 07:47:45.529000+00:00,2026-05-14 08:02:47.786000+00:00,0.011022208230181773,5.779606090053435,0.011019012716137443,81314.0,2.606456296173707,367159.42522784305,441072.0,4.515328544012631,15.110031604766846,896.2598400290008,5.424305777602873,20715.0,896.0,Inference,NVIDIA GeForce RTX 4090,9053116391,21172,14700000000.0,phi4:14b,0.7,LLM Benchmark (Puffin),0,155,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,kindly-crane-619,main.py
23045b01f8fc4c5d9ad263af9211a2e0,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/23045b01f8fc4c5d9ad263af9211a2e0/artifacts,2026-05-14 07:31:10.781000+00:00,2026-05-14 07:47:42.761000+00:00,0.011017520316584404,5.708561183540684,0.011010346776770135,81378.0,2.624846828577965,366320.93824136554,439776.0,4.501473841104052,14.233229160308838,896.5837683230056,5.404114134041142,20778.0,896.0,Inference,NVIDIA GeForce RTX 4090,9053116391,21172,14700000000.0,phi4:14b,0.0,LLM Benchmark (Puffin),0,157,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,ambitious-swan-209,main.py
bfde524da133469787e5ce2ee447eba8,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/bfde524da133469787e5ce2ee447eba8/artifacts,2026-05-14 07:16:06.649000+00:00,2026-05-14 07:31:08.036000+00:00,0.003875360371519418,12.980396871981414,0.0038753231831396276,231206.52334190556,30.136160691995435,303904.83791137964,366480.0,1.3144302051632368,120.10073280334473,896.0085981960001,1.5850763841038065,24158.170024345527,896.0,Inference,NVIDIA GeForce RTX 4090,2176178913,21172,3800000000.0,phi3:3.8b,0.7,LLM Benchmark (Puffin),5,69,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,rare-crane-827,main.py
3ad1c09f9b9546dca5a89c054068ceba,277439843775665282,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/277439843775665282/3ad1c09f9b9546dca5a89c054068ceba/artifacts,2026-05-14 07:00:13.634000+00:00,2026-05-14 07:16:03.847000+00:00,0.003796210299753286,27.763443939613573,0.003794030700436197,241431.88928194178,47.950669574827245,309991.1582139905,374580.0,1.2839694007943825,120.10058045387268,916.5262247810024,1.5514934713639636,65804.23785686865,916.0,Inference,NVIDIA GeForce RTX 4090,2176178913,21172,3800000000.0,phi3:3.8b,0.0,LLM Benchmark (Puffin),7,33,PROJECT,9539b5a8f9de30e2197160bcc228274d61b216ae,local,fischer,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,conda,https://github.com/raphischer/ai-energy-validation.git,calm-bat-753,main.py
