run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.running_time_total,metrics.running_time,metrics.n_tokens_out,metrics.power_draw,metrics.n_tokens_in,metrics.power_draw_total,params.parameters,params.task,params.model,params.architecture,params.file_size,params.dataset,params.temperature,params.seconds,params.n_samples,tags.mlflow.user,tags.mlflow.source.git.commit,tags.mlflow.project.env,tags.mlflow.source.name,tags.mlflow.project.backend,tags.mlflow.source.git.repoURL,tags.mlflow.runName,tags.mlflow.project.entryPoint,tags.mlflow.source.type
bc39cfd2c3e1456996abfcc7d4de1699,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/bc39cfd2c3e1456996abfcc7d4de1699/artifacts,2025-09-12 01:55:18.428000+00:00,2025-09-12 02:10:41.575000+00:00,899.0012858870105,3.392457682592492,129556.0,1284.8087349756163,44922.0,340474.31476853834,7.3B,Inference,olmo2:7b,NVIDIA GeForce RTX 4090,4472032405,LLM Benchmark (Puffin),0.7,900,265,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,vaunted-robin-869,main.py,PROJECT
f034a99b768f46caa007bc6783d75c11,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/f034a99b768f46caa007bc6783d75c11/artifacts,2025-09-12 01:38:43.982000+00:00,2025-09-12 01:55:15.615000+00:00,898.1836795150011,3.0039587943645523,129871.0,1135.682871150966,55274.0,339569.17847413884,7.3B,Inference,olmo2:7b,NVIDIA GeForce RTX 4090,4472032405,LLM Benchmark (Puffin),0.1,900,299,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,beautiful-shark-982,main.py,PROJECT
d9d752c4e97646828579161b61323794,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/d9d752c4e97646828579161b61323794/artifacts,2025-09-12 01:23:18.307000+00:00,2025-09-12 01:38:41.343000+00:00,898.5435684629992,2.5746234053381065,125724.0,988.8406492127435,51891.0,345105.3865752475,8.0B,Inference,dolphin3:8b,NVIDIA GeForce RTX 4090,4920757726,LLM Benchmark (Puffin),0.7,900,349,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,agreeable-mole-341,main.py,PROJECT
73b13cf43c5d4be7a2612848a34825e3,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/73b13cf43c5d4be7a2612848a34825e3/artifacts,2025-09-12 01:03:22.633000+00:00,2025-09-12 01:23:15.534000+00:00,1114.7251089839992,4.867795235737988,151971.0,1902.6581189952954,38626.67543859649,435708.70924992266,8.0B,Inference,dolphin3:8b,NVIDIA GeForce RTX 4090,4920757726,LLM Benchmark (Puffin),0.1,900,229,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,unruly-mare-830,main.py,PROJECT
ffcfd31aef2046e6a7ee57c208ee9a06,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/ffcfd31aef2046e6a7ee57c208ee9a06/artifacts,2025-09-12 00:47:58.916000+00:00,2025-09-12 01:03:19.855000+00:00,884.1851995140023,36.841049979750096,63016.0,14814.593032501545,8578.0,355550.2327800371,14.7B,Inference,phi4-reasoning:14b,NVIDIA GeForce RTX 4090,11117503233,LLM Benchmark (Puffin),0.7,900,24,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,learned-gull-360,main.py,PROJECT
e510c7cc7c6a46fab1eb4a629fe49db8,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/e510c7cc7c6a46fab1eb4a629fe49db8/artifacts,2025-09-12 00:24:58.812000+00:00,2025-09-12 00:47:56.112000+00:00,1220.8411843969952,67.82451024427752,85785.0,27362.779238656098,7810.0,492530.0262958098,14.7B,Inference,phi4-reasoning:14b,NVIDIA GeForce RTX 4090,11117503233,LLM Benchmark (Puffin),0.1,900,18,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,puzzled-sow-234,main.py,PROJECT
58db10a8d40b4ad7bb61e08ebd0386b0,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/58db10a8d40b4ad7bb61e08ebd0386b0/artifacts,2025-09-12 00:09:33.545000+00:00,2025-09-12 00:24:56.072000+00:00,896.4821945549993,6.640608848555551,77439.0,2739.833094891627,10637.0,369877.4678103696,14.7B,Inference,phi4:14b,NVIDIA GeForce RTX 4090,9053116391,LLM Benchmark (Puffin),0.7,900,135,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,redolent-ape-371,main.py,PROJECT
2c8689588a914dbfb1b9eb683498cb7f,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/2c8689588a914dbfb1b9eb683498cb7f/artifacts,2025-09-11 23:52:00.323000+00:00,2025-09-12 00:09:30.697000+00:00,895.6863224499975,6.68422628694028,77135.0,2746.54569072499,15887.0,368037.1225571486,14.7B,Inference,phi4:14b,NVIDIA GeForce RTX 4090,9053116391,LLM Benchmark (Puffin),0.1,900,134,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,bemused-snipe-908,main.py,PROJECT
eb10fffd7b4c4d28b57db4d08c98bee8,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/eb10fffd7b4c4d28b57db4d08c98bee8/artifacts,2025-09-11 23:36:32.608000+00:00,2025-09-11 23:51:57.461000+00:00,900.1618948410032,0.39567555817186956,230050.0,133.72195865395855,378016.0,304217.4559377557,3.8B,Inference,phi3:3.8b,NVIDIA GeForce RTX 4090,2176178913,LLM Benchmark (Puffin),0.7,900,2275,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,caring-auk-95,main.py,PROJECT
c61962d4de3b49ed95efae4d2ed8c7a8,669427401034833275,FINISHED,file:///home/fischer/repos/ai-energy-validation/mlruns/669427401034833275/c61962d4de3b49ed95efae4d2ed8c7a8/artifacts,2025-09-11 23:20:36.875000+00:00,2025-09-11 23:36:29.948000+00:00,901.2817667929994,0.4667435353666491,215212.0,158.99363741147397,322862.1994818653,307016.7138415562,3.8B,Inference,phi3:3.8b,NVIDIA GeForce RTX 4090,2176178913,LLM Benchmark (Puffin),0.1,900,1931,fischer,ed7cc1e8307e51ac1513873b57d9baaad362c641,conda,file:///home/fischer/repos/ai-energy-validation#experiments/ollama,local,https://github.com/raphischer/ai-energy-validation.git,bold-stoat-738,main.py,PROJECT
