,ocr,value,manual,val_diff,still_errors
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/9319bd78a5df4c5799274d54e1cd0b0c_capture_start.jpg,0.294,0.294,False,,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/9319bd78a5df4c5799274d54e1cd0b0c_capture_stop.jpg,0.401,0.401,False,0.10700000000000004,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/42f2b218c332439f867aa0f20bb0efd4_capture_start.jpg,0.402,0.402,False,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/42f2b218c332439f867aa0f20bb0efd4_capture_stop.jpg,0.512,0.512,False,0.10999999999999999,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/388ebdb502c1462e916b63487ae36d50_capture_start.jpg,0.514,0.514,False,0.0020000000000000018,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/388ebdb502c1462e916b63487ae36d50_capture_stop.jpg,0.625,0.625,False,0.11099999999999999,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/a016706d935342d9b43793c8b1a653bc_capture_start.jpg,0.753,0.753,False,0.128,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/a016706d935342d9b43793c8b1a653bc_capture_stop.jpg,0.848,0.848,False,0.09499999999999997,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/3a2b8598bdd8470fb78745952eb0dd77_capture_start.jpg,0.849,0.849,True,0.0010000000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/3a2b8598bdd8470fb78745952eb0dd77_capture_stop.jpg,0.941,0.941,False,0.09199999999999997,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/93ce9e754b1848fe9c1107d428337aea_capture_start.jpg,0.943,0.943,False,0.0020000000000000018,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/93ce9e754b1848fe9c1107d428337aea_capture_stop.jpg,1.062,1.062,False,0.1190000000000001,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/1ff3a05ddfbc4fa79790852042f8db2d_capture_start.jpg,1.063,1.063,False,0.0009999999999998899,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/1ff3a05ddfbc4fa79790852042f8db2d_capture_stop.jpg,1.165,1.165,False,0.10200000000000009,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/3ba45bd28726400e93cfb0be915a54b4_capture_start.jpg,1.166,1.166,False,0.0009999999999998899,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/3ba45bd28726400e93cfb0be915a54b4_capture_stop.jpg,1.234,1.234,False,0.06800000000000006,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/d84f467d304247d5a4e9997829ec4ed0_capture_start.jpg,1.235,1.235,False,0.001000000000000112,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/d84f467d304247d5a4e9997829ec4ed0_capture_stop.jpg,1.296,1.296,False,0.06099999999999994,False
/home/fischer/repos/ai-energy-validation/results/ollama_900_2025-09-16_16-25-17/f68da83df6a9423aa3db38f56c1ce2d5_capture_start.jpg,1.302,1.302,False,0.006000000000000005,False
